Наименование;Адрес;Описание;Бренд;Сезон;Цена;Наличие
Роликовые коньки Rollerblade TWISTER 110;/goods/51525/2542774.html;Легендарная серия Twister от Rollerblade продолжает радовать своих поклонников. Twister 110 - оплот самых современных технологий и трендов. Традиционно жёсткий…;Бренд: Rollerblade;Сезон: 2022;59 020 ₽;в наличии в других городах
Роликовые коньки Rollerblade MAXXUM EDGE 90;/goods/51525/2038178.html;Maxxum Edge - это ролики, вобравшие в себя лучшее из мира фрискейта и моделей для фитнеса! Прочная алюминиевая рама, жёсткий ботинок Molded с отличной боковой…;Бренд: Rollerblade;Сезон: 2021;31 856 ₽;в наличии в других городах
Роликовые коньки Bladerunner PHOENIX FLASH;/goods/51525/2038319.html;Комфортные, надёжные детские ролики по демократичной цене. Обладают хорошей боковой поддержкой и стильным дизайном. Раздвигаются на 4 полных размера. В данной…;Бренд: Bladerunner;Сезон: 2021;10 296 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 80;/goods/51525/2038151.html;Удобные, простые в обращении роликовые коньки для начинающих и совершенствующихся роллеров. Обеспечивают надежную боковую поддержку и хорошую управляемость.;Бренд: Rollerblade;Сезон: 2021;19 007 ₽;в наличии в других городах
Роликовые коньки Bladerunner PHOENIX FLASH G;/goods/51525/2038323.html;Комфортные, надёжные детские ролики по демократичной цене. Обладают хорошей боковой поддержкой и стильным дизайном. Раздвигаются на 4 полных размера. В данной…;Бренд: Bladerunner;Сезон: 2021;10 296 ₽;в наличии в других городах
Роликовые коньки Rollerblade SPARK 90;/goods/51525/1497061.html;Комфортные, надежные, простые в использовании роликовые коньки для начинающих и совершенствующихся роллеров.;Бренд: Rollerblade;Сезон: 2020;19 039 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 80 W;/goods/51525/1496918.html;Удобные, надежные, простые в обращении роликовые коньки для начинающих и совершенствующихся роллеров. Обеспечивают надежную боковую поддержку и хорошую…;Бренд: Rollerblade;Сезон: 2020;17 119 ₽;в наличии в других городах
Роликовые коньки Rollerblade CYCLONE;/goods/51525/1497013.html;Для самых юных райдеров, которых привлекает урбан и фристайл! Только здесь все по-взрослому и без шуток! Идеальная модель для подрастающего поколения…;Бренд: Rollerblade;Сезон: 2020;14 560 ₽;в наличии в других городах
Роликовые коньки K2 MARLEE SPLASH;/goods/51525/1495494.html;Новый уникальный дизайн детских роликовых коньков, которые Ваш ребенок сможет разукрасить самостоятельно, выражая свою индивидуальность. Коньки тщательно…;Бренд: K2;Сезон: 2020;13 439 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 80;/goods/51525/1496907.html;Удобные, надежные, простые в обращении роликовые коньки для начинающих и совершенствующихся роллеров. Обеспечивают надежную боковую поддержку и хорошую…;Бренд: Rollerblade;Сезон: 2020;17 119 ₽;в наличии в других городах
Роликовые коньки Rollerblade SPARK 90 W;/goods/51525/1497070.html;Комфортные, надежные, простые в использовании роликовые коньки для начинающих и совершенствующихся роллеров.;Бренд: Rollerblade;Сезон: 2020;19 039 ₽;в наличии в других городах
Роликовые коньки Rollerblade ZETRABLADE ELITE W;/goods/51525/2542823.html;Комфортные надёжные роликовые коньки от Rollerblade.;Бренд: Rollerblade;Сезон: 2022;24 959 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 110 3WD;/goods/51525/2712440.html;Macroblade 110 3WD разработан для опытных роллеров и высоких скоростей. Конструкция манжеты ботинка во всю высоту для превосходной боковой поддержки в…;Бренд: Rollerblade;Сезон: 2022;50 310 ₽;в наличии в других городах
Роликовые коньки K2 CHARM BOA ALU;/goods/51525/2547030.html;Для детей, которые хотят кататься на коньках, как чемпионы. Раздвижные роликовые коньки Charm Boa ALU обеспечивающие максимальную устойчивость и…;Бренд: K2;Сезон: 2022;31 460 ₽;в наличии в других городах
Роликовые коньки Rollerblade RB PRO X;/goods/51525/2542757.html;"RB PRO X - удобные надёжные ролики для фрискейта. Их главные отличия от «младшего брата"", RB Cruiser - это усовершенствованный внутренник High Performance,…";Бренд: Rollerblade;Сезон: 2022;39 909 ₽;в наличии в других городах
Роликовые коньки Rollerblade RB PRO X W;/goods/51525/2542767.html;"RB PRO X - удобные надёжные ролики для фрискейта. Их главные отличия от «младшего брата"", RB Cruiser - это усовершенствованный внутренник High Performance,…";Бренд: Rollerblade;Сезон: 2022;39 909 ₽;в наличии в других городах
Роликовые коньки K2 F.I.T. 80 BOA;/goods/51525/2038069.html;F.I.T. 80 BOA оснащен вибропоглощающей рамой Tec Composite, которая поглощает вибрацию дороги для плавного катания. Система BOA Fit дает возможность легко…;Бренд: K2;Сезон: 2021;21 472 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 80 W;/goods/51525/2038166.html;Удобные, простые в обращении роликовые коньки для начинающих и совершенствующихся роллеров. Обеспечивают надежную боковую поддержку и хорошую управляемость.;Бренд: Rollerblade;Сезон: 2021;19 007 ₽;в наличии в других городах
Роликовые коньки Rollerblade RB 110 3WD;/goods/51525/2038194.html;Отличные фрискейт-ролики на 3-х колёсной базе 3WD. Большие колёса, жёсткий ботинок, удобный внутренник с антишоком и стильный дизайн - всё, что нужно для…;Бренд: Rollerblade;Сезон: 2021;27 280 ₽;в наличии в других городах
Роликовые коньки K2 VO2 S 100 M;/goods/51525/2038116.html;Эта модель предназначена для активных, опытных роллеров, ищущих удобные ролики для быстрого катания. Быстрая шнуровка и система вентиляции Vortech обеспечивают…;Бренд: K2;Сезон: 2021;37 576 ₽;в наличии в других городах
Роликовые коньки K2 VO2 S 100 W;/goods/51525/2038124.html;Эта модель предназначена для активных, опытных роллеров, ищущих удобные ролики для быстрого катания. Быстрая шнуровка и система вентиляции Vortech обеспечивают…;Бренд: K2;Сезон: 2021;37 576 ₽;в наличии в других городах
Роликовые коньки Rollerblade RB CRUISER W;/goods/51525/2038220.html;Ролики для фристайла/фрискейта по доступной цене. Все самые необходимые технологии и ничего лишнего! Прекрасно подойдут для начинающих и продвинутых райдеров.;Бренд: Rollerblade;Сезон: 2021;19 713 ₽;в наличии в других городах
Роликовые коньки Rollerblade RB CRUISER;/goods/51525/2038202.html;Ролики для фристайла/фрискейта по доступной цене. Все самые необходимые технологии и ничего лишнего! Прекрасно подойдут для начинающих и продвинутых райдеров.;Бренд: Rollerblade;Сезон: 2021;19 713 ₽;в наличии в других городах
Роликовые коньки Rollerblade MICROBLADE FREE 3WD G;/goods/51525/2037976.html;Удобные, простые в обращении роликовые коньки для детей. Регулируются на 4 полных размера одним нажатием кнопки. Обеспечивают надежную поддержку и хорошую…;Бренд: Rollerblade;Сезон: 2021;11 088 ₽;в наличии в других городах
Роликовые коньки Rollerblade MICROBLADE FREE 3WD;/goods/51525/2037972.html;Удобные, простые в обращении роликовые коньки для детей. Регулируются на 4 полных размера одним нажатием кнопки. Обеспечивают надежную поддержку и хорошую…;Бренд: Rollerblade;Сезон: 2021;11 088 ₽;в наличии в других городах
Роликовые коньки K2 F.I.T. 80 ALU;/goods/51525/2038048.html;Роликовые коньки для начального уровня катания, предназначены для прогулочного фитнес-катания. Благодаря алюминиевой раме увеличен запас жесткости и точность…;Бренд: K2;Сезон: 2021;20 064 ₽;в наличии в других городах
Роликовые коньки K2 VO2 S 90 M;/goods/51525/2038102.html;Эта модель предназначена для активных, опытных роллеров, ищущих удобные ролики для быстрого катания. Быстрая шнуровка и система вентиляции Vortech обеспечивают…;Бренд: K2;Сезон: 2021;34 848 ₽;в наличии в других городах
Роликовые коньки K2 VO2 S 90 W;/goods/51525/2038110.html;Эта модель предназначена для активных, опытных роллеров, ищущих удобные ролики для быстрого катания. Быстрая шнуровка и система вентиляции Vortech обеспечивают…;Бренд: K2;Сезон: 2021;34 848 ₽;в наличии в других городах
Роликовые коньки Rollerblade TWISTER EDGE;/goods/51525/2038242.html;Легендарная серия Twister от Rollerblade продолжает радовать своих поклонников. Twister Edge - оплот самых современных технологий и трендов. Традиционно…;Бренд: Rollerblade;Сезон: 2021;28 688 ₽;в наличии в других городах
Роликовые коньки K2 RAIDER SPLASH;/goods/51525/2038002.html;Новый уникальный дизайн детских роликовых коньков, которые Ваш ребенок сможет разукрасить самостоятельно, выражая свою индивидуальность. Коньки тщательно…;Бренд: K2;Сезон: 2021;14 783 ₽;в наличии в других городах
Роликовые коньки Rollerblade TWISTER EDGE W;/goods/51525/2038255.html;Легендарная серия Twister от Rollerblade продолжает радовать своих поклонников. Twister Edge - оплот самых современных технологий и трендов. Традиционно…;Бренд: Rollerblade;Сезон: 2021;28 688 ₽;в наличии в других городах
Роликовые коньки K2 MARLEE SPLASH;/goods/51525/2038006.html;Новый уникальный дизайн детских роликовых коньков, которые Ваш ребенок сможет разукрасить самостоятельно, выражая свою индивидуальность. Коньки тщательно…;Бренд: K2;Сезон: 2021;14 783 ₽;в наличии в других городах
Роликовые коньки Rollerblade MICROBLADE 3WD;/goods/51525/2037964.html;Удобные, простые в обращении роликовые коньки для детей. Регулируются на 4 полных размера одним нажатием кнопки. Обеспечивают надежную поддержку и хорошую…;Бренд: Rollerblade;Сезон: 2021;10 912 ₽;в наличии в других городах
Роликовые коньки K2 CHARM BOA ALU;/goods/51525/2038021.html;Для детей, которые хотят кататься на коньках, как чемпионы. Раздвижные роликовые коньки Charm Boa ALU обеспечивающие максимальную устойчивость и…;Бренд: K2;Сезон: 2021;18 744 ₽;в наличии в других городах
Роликовые коньки K2 VO2 S 100 BOA;/goods/51525/2038130.html;Отличный выбор для любителей длительного, активного катания. Эти быстрые, комфортные ролики оснащены системой Vortech, обеспечивающей наилучшую вентиляцию,…;Бренд: K2;Сезон: 2021;40 215 ₽;в наличии в других городах
Роликовые коньки Rollerblade ZETRABLADE ELITE;/goods/51525/2038282.html;Комфортные надёжные роликовые коньки от Rollerblade.;Бренд: Rollerblade;Сезон: 2021;15 751 ₽;в наличии в других городах
Роликовые коньки Rollerblade APEX;/goods/51525/2037922.html;Apex - идеальная модель для подрастающего поколения чемпионов! Только здесь все по-взрослому и без шуток! Molded ботинок с боковыми слайдерами для…;Бренд: Rollerblade;Сезон: 2021;14 607 ₽;в наличии в других городах
Роликовые коньки Rollerblade ZETRABLADE ELITE W;/goods/51525/2038292.html;Комфортные надёжные роликовые коньки от Rollerblade.;Бренд: Rollerblade;Сезон: 2021;15 751 ₽;в наличии в других городах
Роликовые коньки Rollerblade MAXXUM EDGE 90;/goods/51525/1496950.html;Жесткие, маневренные  ролики, сочетающие в себе скорость и долговечность.Идеально подойдут для катания по улицам твоего города.;Бренд: Rollerblade;Сезон: 2020;28 160 ₽;в наличии в других городах
Роликовые коньки K2 F.I.T. 80 ALU;/goods/51525/1495536.html;Роликовые коньки для начального уровня, предназначены для прогулочного фитнес-катания. Благодаря алюминиевой раме увеличен запас жесткости и точность передачи…;Бренд: K2;Сезон: 2020;18 240 ₽;в наличии в других городах
Роликовые коньки Rollerblade MICROBLADE G;/goods/51525/1493877.html;Новая модель, переосмысление классических Spitfire. Новаая база с возможностью установки трех колес, навеянная самыми последними трендами индустрии.;Бренд: Rollerblade;Сезон: 2020;9 600 ₽;в наличии в других городах
Роликовые коньки Rollerblade CUBE G;/goods/51525/1493891.html;Удобные, хорошо поддерживающие ногу раздвижные коньки с современным дизайном и превосходными техническими характеристиками. Отличный подарок любому ребенку!…;Бренд: Rollerblade;Сезон: 2020;14 560 ₽;в наличии в других городах
Роликовые коньки K2 RAIDER SPLASH;/goods/51525/1495490.html;Новый уникальный дизайн детских роликовых коньков, которые Ваш ребенок сможет разукрасить самостоятельно, выражая свою индивидуальность. Коньки тщательно…;Бренд: K2;Сезон: 2020;13 439 ₽;в наличии в других городах
Роликовые коньки Rollerblade RB CRUISER W;/goods/51525/1496998.html;Фристайл-модель начального уровня с передовыми технологиями от RB и доступной ценой.;Бренд: Rollerblade;Сезон: 2020;17 920 ₽;в наличии в других городах
Роликовые коньки Rollerblade ZETRABLADE;/goods/51525/1496929.html;Комфортные, надежные ролики для начинающих.;Бренд: Rollerblade;Сезон: 2020;12 159 ₽;в наличии в других городах
Роликовые коньки Rollerblade CYCLONE G;/goods/51525/1497017.html;Для самых юных райдеров, которых привлекает урбан и фристайл! Только здесь все по-взрослому и без шуток! Идеальная модель для подрастающего поколения…;Бренд: Rollerblade;Сезон: 2020;14 560 ₽;в наличии в других городах
Роликовые коньки Rollerblade TWISTER EDGE 110 3WD;/goods/51525/1412838.html;Самые совершенные фристал-ролики на трехколесной базе в мире! Максимальная скорость и маневренность в сочетании с новым, еще более агрессивным дизайном и…;Бренд: Rollerblade;Сезон: 2019;30 660 ₽;в наличии в других городах
Роликовые коньки K2 VO2 S 90 PRO M;/goods/51525/1413383.html;Эта модель предназначена для активных, опытных роллеров, ищущих удобные ролики для быстрого катания. Быстрая шнуровка и система вентиляции Vortech обеспечивают…;Бренд: K2;Сезон: 2019;27 720 ₽;в наличии в других городах
Роликовые коньки Rollerblade SIRIO 90;/goods/51525/1412964.html;Удобные, надежные, простые в обращении роликовые коньки для  совершенствующихся роллеров. Обеспечивают надежную боковую поддержку и хорошую управляемость.;Бренд: Rollerblade;Сезон: 2019;17 920 ₽;в наличии в других городах
Роликовые коньки Bladerunner PHASER COMBO;/goods/51525/1413759.html;Популярные детские коньки. Легкие, удобные ролики раздвигаются на четыре полных размера, обладают хорошей боковой поддержкой и также демократичной ценой.;Бренд: Bladerunner;Сезон: 2019;8 400 ₽;в наличии в других городах
Роликовые коньки K2 F.I.T. 84 PRO;/goods/51525/1412664.html;Эта модель роликов предназначена для длительных фитнес-прогулок. Благодаря алюминиевой раме увеличен запас жесткости и точность передачи усилия. Повышенный…;Бренд: K2;Сезон: 2019;19 179 ₽;в наличии в других городах
Роликовые коньки K2 F.I.T. 80 PRO;/goods/51525/1412834.html;F.I.T. 80 PRO оснащен вибропоглощающей рамой Tec Composite, которая поглощает вибрацию дороги для плавного катания. Объедините это с надежной фиксацией,…;Бренд: K2;Сезон: 2019;13 860 ₽;в наличии в других городах
Роликовые коньки K2 ALEXIS 84 PRO;/goods/51525/1412830.html;Эта модель роликов предназначена для длительных фитнес-прогулок. Благодаря алюминиевой раме увеличен запас жесткости и точность передачи усилия. Повышенный…;Бренд: K2;Сезон: 2019;19 179 ₽;в наличии в других городах
Роликовые коньки Rollerblade SIRIO 84;/goods/51525/1412956.html;Удобные, надежные, простые в обращении роликовые коньки для начинающих и совершенствующихся роллеров. Обеспечивают надежную боковую поддержку и хорошую…;Бренд: Rollerblade;Сезон: 2019;15 470 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 80 W;/goods/51525/1412952.html;Удобные, надежные, простые в обращении роликовые коньки для начинающих и совершенствующихся роллеров. Обеспечивают надежную боковую поддержку и хорошую…;Бренд: Rollerblade;Сезон: 2019;14 979 ₽;в наличии в других городах
Роликовые коньки Rollerblade MACROBLADE 80;/goods/51525/1412832.html;Удобные, надежные, простые в обращении роликовые коньки для начинающих и совершенствующихся роллеров. Обеспечивают надежную боковую поддержку и хорошую…;Бренд: Rollerblade;Сезон: 2019;14 979 ₽;в наличии в других городах
Роликовые коньки K2 ALEXIS 80 PRO;/goods/51525/1414377.html;Alexis 80 PRO оснащен вибропоглощающей рамой Tec Composite, которая поглощает вибрацию дороги для плавного катания. Объедините это с надежной фиксацией,…;Бренд: K2;Сезон: 2019;13 860 ₽;в наличии в других городах
Роликовые коньки K2 TRIO 100;/goods/51525/1413381.html;Три - магическое число. Новая модель TRIO - это инновационные, высокопроизводительные трехколесные премиум-ролики с опцией рокера. Модель TRIO разработана для…;Бренд: K2;Сезон: 2019;26 670 ₽;в наличии в других городах
Роликовые коньки Rollerblade SPARK 80 W;/goods/51525/1317253.html;Комфортные, надежные, простые в использовании роликовые коньки для начинающих и совершенствующихся роллеров.;Бренд: Rollerblade;Сезон: 2018;9 780 ₽;в наличии в других городах
